XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
391684.2091,4801911.105,72,72,91,13,1
391969.4426,4801982.371,213,200,181,123,3
391933.7374,4801979.043,207,193,175,82,3
391902.9989,4801960.038,156,139,128,42,3
391838.1041,4801905.734,146,131,120,40,3
391383.9627,4801787.681,39,63,90,8,1
391443.2256,4801849.983,37,65,92,9,1
391510.7018,4801828.104,64,68,92,10,1
391535.6291,4801755.785,79,80,97,10,1
391561.605,4801803.026,200,196,185,38,1
391787.139,4801845.462,145,130,118,41,3
391727.7799,4801831.249,163,150,136,54,3
391722.7603,4801789.304,165,150,136,44,3
391777.3985,4801780.198,174,159,142,72,3
391806.1707,4801784.936,208,196,177,151,3
391850.1291,4801787.699,205,195,176,163,3
391346.4593,4801618.447,138,125,123,17,1
391294.9507,4801660.001,60,61,87,7,1
391388.6705,4801701.821,56,60,85,8,1
391613.7846,4801696.168,149,138,126,26,3
391683.0111,4801701.991,155,141,129,41,3
391729.3262,4801661.822,217,203,185,117,3
391750.9406,4801626.815,218,198,184,115,3
391628.667,4801620.976,156,140,129,36,3
391611.414,4801656.779,133,119,113,24,3
390803.2761,4801584.738,60,66,93,7,1
391053.2424,4801554.709,64,71,94,7,1
391208.3625,4801521.016,228,224,218,41,1
391320.9389,4801491.477,74,73,94,10,1
391445.3748,4801604.726,219,206,197,65,1
391579.3035,4801606.603,165,150,138,42,3
391647.4186,4801597.279,167,149,138,48,3
391660.8014,4801564.136,216,200,184,107,3
391528.5601,4801533.328,171,157,142,42,3
391577.1005,4801523.451,163,149,136,44,3
391558.1415,4801479.995,168,154,141,49,3
391684.8411,4801490.529,219,204,188,132,3
390977.8835,4801554.423,89,97,105,110,4
390956.2775,4801508.845,69,82,107,108,4
391168.0072,4801480.304,109,123,124,79,4
391597.9952,4801470.691,215,202,185,126,3
391502.02,4801451,167,155,140,41,3
391451.476,4801444.445,174,161,143,32,3
391486.6459,4801387.122,194,179,161,46,3
391641.0298,4801388.545,219,204,187,140,3
390825.588,4801350.843,52,72,97,5,1
391219.2468,4801278.64,55,73,94,6,1
391566.9042,4801348.572,215,202,185,144,3
390950.1486,4801201.516,51,70,95,4,1
